OBJECTID,LABEL,CATEGORY,ZONE_LABEL,DESCRIPTION,BLURB1,LINKTEXT1,HREF1,BLURB2,LINKTEXT2,HREF2,Shape__Area,Shape__Length
119,C-1,C-1 Neighborhood Center,C-1,C-1 Neighborhood Center,C-1 Zoning Code is,available online,http://ecode360.com/8679793, , , ,19668.59106188,600.897293884595
120,C-1,C-1 Neighborhood Center,C-1,C-1 Neighborhood Center,C-1 Zoning Code is,available online,http://ecode360.com/8679793, , , ,12197.71114581,474.088216386491
121,C-1,C-1 Neighborhood Center,C-1,C-1 Neighborhood Center,C-1 Zoning Code is,available online,http://ecode360.com/8679793, , , ,42316.473305985,1588.9031964476
122,C-1,C-1 Neighborhood Center,C-1,C-1 Neighborhood Center,C-1 Zoning Code is,available online,http://ecode360.com/8679793, , , ,17539.1853478,802.470119545849
123,C-1,C-1 Neighborhood Center,C-1,C-1 Neighborhood Center,C-1 Zoning Code is,available online,http://ecode360.com/8679793, , , ,29304.795650005,712.022664539403
124,C-1,C-1 Neighborhood Center,C-1,C-1 Neighborhood Center,C-1 Zoning Code is,available online,http://ecode360.com/8679793, , , ,14728.04140749,547.422035913762
125,C-1,C-1 Neighborhood Center,C-1,C-1 Neighborhood Center,C-1 Zoning Code is,available online,http://ecode360.com/8679793, , , ,42502.377853925,1113.53293705826
126,C-1,C-1 Neighborhood Center,C-1,C-1 Neighborhood Center,C-1 Zoning Code is,available online,http://ecode360.com/8679793, , , ,22898.612247745,750.618385784784
127,C-1,C-1 Neighborhood Center,C-1,C-1 Neighborhood Center,C-1 Zoning Code is,available online,http://ecode360.com/8679793, , , ,17040.181981635,637.946655694431
128,C-1,C-1 Neighborhood Center,C-1,C-1 Neighborhood Center,C-1 Zoning Code is,available online,http://ecode360.com/8679793, , , ,31761.94720098,935.738222328986
129,C-1,C-1 Neighborhood Center,C-1,C-1 Neighborhood Center,C-1 Zoning Code is,available online,http://ecode360.com/8679793, , , ,101044.80649173,2200.05112247518
130,Brooks Landing URD/C-2,URD Urban Renewal District,Brooks Landing URD/C-2,Brooks Landing Urban Renewal District/C-2 Community Center,Brooks Landing URD Zoning Code is,available online,http://ecode360.com/8681722,C-2 Zoning Code is,available online,http://ecode360.com/8679863,29102.975339675,926.870968676655
131,C-1,C-1 Neighborhood Center,C-1,C-1 Neighborhood Center,C-1 Zoning Code is,available online,http://ecode360.com/8679793, , , ,34307.34338605,970.961099159359
132,C-2,C-2 Community Center,C-2,C-2 Community Center,C-2 Zoning Code is,available online,http://ecode360.com/8679863, , , ,192808.14151403,4008.16828303027
133,C-2,C-2 Community Center,C-2,C-2 Community Center,C-2 Zoning Code is,available online,http://ecode360.com/8679863, , , ,68312.06122121,1321.99952602935
134,C-2,C-2 Community Center,C-2,C-2 Community Center,C-2 Zoning Code is,available online,http://ecode360.com/8679863, , , ,66219.25246559,1164.43999603272
135,R-1,R-1 Low Density Residential,R-1,R-1 Low Density Residential,R-1 Zoning Code is,available online,http://ecode360.com/8679530, , , ,1018778.54039765,5627.66736602452
136,C-1,C-1 Neighborhood Center,C-1,C-1 Neighborhood Center,C-1 Zoning Code is,available online,http://ecode360.com/8679793, , , ,28301.89904577,946.187621130644
137,C-2,C-2 Community Center,C-2,C-2 Community Center,C-2 Zoning Code is,available online,http://ecode360.com/8679863, , , ,39689.17299356,1502.21001774199
138,C-1,C-1 Neighborhood Center,C-1,C-1 Neighborhood Center,C-1 Zoning Code is,available online,http://ecode360.com/8679793, , , ,73934.67710752,2148.86792300406
139,C-2,C-2 Community Center,C-2,C-2 Community Center,C-2 Zoning Code is,available online,http://ecode360.com/8679863, , , ,500180.48279375,5096.3933005716
140,C-2,C-2 Community Center,C-2,C-2 Community Center,C-2 Zoning Code is,available online,http://ecode360.com/8679863, , , ,338368.606227735,4861.34457193537
141,C-2,C-2 Community Center,C-2,C-2 Community Center,C-2 Zoning Code is,available online,http://ecode360.com/8679863, , , ,65626.97688607,1522.74961410255
142,C-2,C-2 Community Center,C-2,C-2 Community Center,C-2 Zoning Code is,available online,http://ecode360.com/8679863, , , ,69196.72252799,1760.13997524254
143,C-2,C-2 Community Center,C-2,C-2 Community Center,C-2 Zoning Code is,available online,http://ecode360.com/8679863, , , ,434761.09978211,6807.65312982369
144,C-2,C-2 Community Center,C-2,C-2 Community Center,C-2 Zoning Code is,available online,http://ecode360.com/8679863, , , ,50316.75116125,1046.36151211819
145,C-2,C-2 Community Center,C-2,C-2 Community Center,C-2 Zoning Code is,available online,http://ecode360.com/8679863, , , ,44475.38007217,983.509186024156
146,C-1,C-1 Neighborhood Center,C-1,C-1 Neighborhood Center,C-1 Zoning Code is,available online,http://ecode360.com/8679793, , , ,15482.577843065,623.23042724479
147,C-2,C-2 Community Center,C-2,C-2 Community Center,C-2 Zoning Code is,available online,http://ecode360.com/8679863, , , ,137045.92315699,1692.675516733
148,C-2,C-2 Community Center,C-2,C-2 Community Center,C-2 Zoning Code is,available online,http://ecode360.com/8679863, , , ,175780.14348083,2790.16752896589
149,C-2,C-2 Community Center,C-2,C-2 Community Center,C-2 Zoning Code is,available online,http://ecode360.com/8679863, , , ,148191.48759934,1780.61700769348
150,C-2,C-2 Community Center,C-2,C-2 Community Center,C-2 Zoning Code is,available online,http://ecode360.com/8679863, , , ,35524.016513765,1073.57397342908
151,C-2,C-2 Community Center,C-2,C-2 Community Center,C-2 Zoning Code is,available online,http://ecode360.com/8679863, , , ,83156.243502345,1164.3848451443
152,C-2,C-2 Community Center,C-2,C-2 Community Center,C-2 Zoning Code is,available online,http://ecode360.com/8679863, , , ,14479.46637365,688.033855900769
153,C-2,C-2 Community Center,C-2,C-2 Community Center,C-2 Zoning Code is,available online,http://ecode360.com/8679863, , , ,19723.061843095,888.511002384982
154,M-1,Industrial,M-1,M-1 Industrial District,M-1 Zoning Code is,available online,http://ecode360.com/8681474, , , ,107921.59716764,2243.82171385302
155,C-2,C-2 Community Center,C-2,C-2 Community Center,C-2 Zoning Code is,available online,http://ecode360.com/8679863, , , ,25431.386390055,836.039033628238
156,C-2,C-2 Community Center,C-2,C-2 Community Center,C-2 Zoning Code is,available online,http://ecode360.com/8679863, , , ,162119.14106353,4016.31155492134
157,C-2,C-2 Community Center,C-2,C-2 Community Center,C-2 Zoning Code is,available online,http://ecode360.com/8679863, , , ,85459.455340865,1787.59651509305
158,C-2,C-2 Community Center,C-2,C-2 Community Center,C-2 Zoning Code is,available online,http://ecode360.com/8679863, , , ,114862.7641306,2101.16618453339
159,C-2,C-2 Community Center,C-2,C-2 Community Center,C-2 Zoning Code is,available online,http://ecode360.com/8679863, , , ,40674.337692925,1054.42797832564
160,C-2,C-2 Community Center,C-2,C-2 Community Center,C-2 Zoning Code is,available online,http://ecode360.com/8679863, , , ,35004.72550973,1053.57954826246
161,C-2,C-2 Community Center,C-2,C-2 Community Center,C-2 Zoning Code is,available online,http://ecode360.com/8679863, , , ,36496.21198143,1123.75982357789
162,C-2,C-2 Community Center,C-2,C-2 Community Center,C-2 Zoning Code is,available online,http://ecode360.com/8679863, , , ,172907.04242084,3307.29444284313
163,C-3,C-3 Regional Destination Center,C-3,C-3 Regional Destination Center,C-3 Zoning Code is,available online,http://ecode360.com/8679969, , , ,248247.130284885,2083.47495064899
164,C-3,C-3 Regional Destination Center,C-3,C-3 Regional Destination Center,C-3 Zoning Code is,available online,http://ecode360.com/8679969, , , ,260782.484021795,2970.07943576441
165,C-3,C-3 Regional Destination Center,C-3,C-3 Regional Destination Center,C-3 Zoning Code is,available online,http://ecode360.com/8679969, , , ,35806.047688035,851.605348270795
166,C-3,C-3 Regional Destination Center,C-3,C-3 Regional Destination Center,C-3 Zoning Code is,available online,http://ecode360.com/8679969, , , ,14316.531751825,642.182609530475
167,Genesee Crossroads S URD/CCD-T,URD Urban Renewal District,Genesee Crossroads S URD/CCD-T,Genesee Crossroads South Urban Renewal District/CCD-T Center City Tower District,Genesee Crossroads S URD Zoning Code is,available online,http://ecode360.com/8681722,CCD-T Zoning Code is,available online,http://ecode360.com/8680942,31539.840349215,742.969933722325
168,CCD-B,CCD Center City District,CCD-B,CCD-B Center City Base District,CCD-B Zoning Code is,available online,http://ecode360.com/8680106, , , ,275667.17527311,3033.21824386634
169,CCD-C,CCD Center City District,CCD-C,CCD-C Center City Cascade-Canal,CCD-C Zoning Code is,available online,http://ecode360.com/8681089, , , ,712020.826698965,3998.65633059987
170,H-V,Village Center,H-V,H-V Harbortown Village District,H-V Zoning Code is,available online,http://ecode360.com/8681342, , , ,1703344.33055488,12973.6913663026
