OBJECTID,LABEL,CATEGORY,ZONE_LABEL,DESCRIPTION,BLURB1,LINKTEXT1,HREF1,BLURB2,LINKTEXT2,HREF2,Shape__Area,Shape__Length
385,R-1,R-1 Low Density Residential,R-1,R-1 Low Density Residential,R-1 Zoning Code is,available online,http://ecode360.com/8679530, , , ,377709.628204495,4191.00814152845
386,R-2,R-2 Medium Density Residential,R-2,R-2 Medium Density Residential,R-2 Zoning Code is,available online,http://ecode360.com/8679602, , , ,145589.6556096,1999.0554377171
387,O-S,Open Space,O-S,Open Space District,O-S Zoning Code is,available online,http://ecode360.com/8681579, , , ,43340.465154045,938.259845093535
388,PD#16,Planned Development District,PD#16,PD Planned Development District #16 Century - Strathallen,PD#16 Zoning Code is,available online,https://ecode360.com/33554347, , , ,39159.31383936,1186.03372452589
389,R-3,R-3 High-Density Residential,R-3,R-3 High Density Residential,R-3 Zoning Code is,available online,http://ecode360.com/8679692, , , ,0.00596555,1.86510757111925
390,Marketview Heights URD/M-1,URD Urban Renewal District,Marketview Heights URD/M-1,Marketview Heights Urban Renewal District / M-1 Industrial District,Marketview Heights URD Zoning Code is,available online,http://ecode360.com/8681722,M-1 Zoning Code is,available online,http://ecode360.com/8681474,21493.301199515,1035.60133578028
391,Marketview Heights URD/M-1,URD Urban Renewal District,Marketview Heights URD/M-1,Marketview Heights Urban Renewal District / M-1 Industrial District,Marketview Heights URD Zoning Code is,available online,http://ecode360.com/8681722,M-1 Zoning Code is,available online,http://ecode360.com/8681474,2071.21828776,212.115304279951
392,R-2,R-2 Medium Density Residential,R-2,R-2 Medium Density Residential,R-2 Zoning Code is,available online,http://ecode360.com/8679602, , , ,315026.720162605,3696.31382339176
393,O-S,Open Space,O-S,Open Space District,O-S Zoning Code is,available online,http://ecode360.com/8681579, , , ,5510.864121685,355.088946137505
394,C-2,C-2 Community Center,C-2,C-2 Community Center,C-2 Zoning Code is,available online,http://ecode360.com/8679863, , , ,1360.17810299,156.878575287241
395,Marketview Heights URD/C-2,URD Urban Renewal District,Marketview Heights URD/C-2,Marketview Heights Urban Renewal District / C-2 Community Center District,Marketview Heights URD Zoning Code is,available online,http://ecode360.com/8681723,C-2 Zoning Code is,available online,http://ecode360.com/8679863,57522.11323213,1268.47071770006
396,C-2,C-2 Community Center,C-2,C-2 Community Center,C-2 Zoning Code is,available online,http://ecode360.com/8679863, , , ,1764.93629791,172.214098562072
397,R-2,R-2 Medium Density Residential,R-2,R-2 Medium Density Residential,R-2 Zoning Code is,available online,http://ecode360.com/8679602, , , ,87495.12406106,1645.36814173544
398,Marketview Heights URD/CCD-M,URD Urban Renewal District,Marketview Heights URD/CCD-M,Marketview Heights Urban Renewal District / CCD-M Center City Main Street District,Marketview Heights URD Zoning Code is,available online,http://ecode360.com/8681723,CCD-M Zoning Code is,available online,http://ecode360.com/8680426,14602.686535495,540.086777370969
399,R-3,R-3 High-Density Residential,R-3,R-3 High Density Residential,R-3 Zoning Code is,available online,http://ecode360.com/8679692, , , ,18259.343325785,546.469042797256
400,R-3,R-3 High-Density Residential,R-3,R-3 High Density Residential,R-3 Zoning Code is,available online,http://ecode360.com/8679692, , , ,27808.014650915,892.276931213302
401,R-1,R-1 Low Density Residential,R-1,R-1 Low Density Residential,R-1 Zoning Code is,available online,http://ecode360.com/8679530, , , ,174823.957696795,2444.72861374295
402,C-2,C-2 Community Center,C-2,C-2 Community Center,C-2 Zoning Code is,available online,http://ecode360.com/8679863, , , ,5522.581713805,316.273353028287
403,PD #19,Planned Development District,PD #19,PD Planned Development District #19 Education Success Campus,PD #19 Zoning Code is,available online,https://ecode360.com/33554492, , , ,49194.35208068,948.197336064131
404,PD #18,Planned Development District,PD #18,PD Planned Development District #18 1201 Elmwood Ave,PD #18 Zoning Code is,available online,https://ecode360.com/33554430, , , ,142799.824127455,1931.80186320792
405,M-1,Industrial,M-1,M-1 Industrial District,M-1 Zoning Code is,available online,http://ecode360.com/8681474, , , ,125472.586005685,2594.66091690791
406,C-2,C-2 Community Center,C-2,C-2 Community Center,C-2 Zoning Code is,available online,http://ecode360.com/8679863, , , ,5928.3924298,323.546903721335
407,R-3,R-3 High-Density Residential,R-3,R-3 High Density Residential,R-3 Zoning Code is,available online,http://ecode360.com/8679692, , , ,80125.050255855,1504.41595186518
408,R-2,R-2 Medium Density Residential,R-2,R-2 Medium Density Residential,R-2 Zoning Code is,available online,http://ecode360.com/8679602, , , ,63902.39494683,1209.00226444843
409,R-3,R-3 High-Density Residential,R-3,R-3 High Density Residential,R-3 Zoning Code is,available online,http://ecode360.com/8679692, , , ,7501.51279897,426.928261059345
410,PD #20,Planned Development District,PD #20,PD Planned Development District #20  Pediatric and Family Service,PD #20 Zoning Code is,available online,https://ecode360.com/33803030, , , ,119288.56190528,1697.5807690983
411,R-3,R-3 High-Density Residential,R-3,R-3 High Density Residential,R-3 Zoning Code is,available online,http://ecode360.com/8679692, , , ,42175.54636112,1109.98130744634
412,R-3,R-3 High-Density Residential,R-3,R-3 High Density Residential,R-3 Zoning Code is,available online,http://ecode360.com/8679692, , , ,12225.70780758,659.151462994176
413,M-1,Industrial,M-1,M-1 Industrial District,M-1 Zoning Code is,available online,http://ecode360.com/8681474, , , ,55926.820837475,1696.57776537651
414,R-2,R-2 Medium Density Residential,R-2,R-2 Medium Density Residential,R-2 Zoning Code is,available online,http://ecode360.com/8679602, , , ,18198.851679525,651.275068449354
415,R-1,R-1 Low Density Residential,R-1,R-1 Low Density Residential,R-1 Zoning Code is,available online,http://ecode360.com/8679530, , , ,2315.452364965,195.25939365407
416,R-1,R-1 Low Density Residential,R-1,R-1 Low Density Residential,R-1 Zoning Code is,available online,http://ecode360.com/8679530, , , ,1516.406046085,213.699612734547
417,R-1,R-1 Low Density Residential,R-1,R-1 Low Density Residential,R-1 Zoning Code is,available online,http://ecode360.com/8679530, , , ,24549.4505973,736.958754436591
418,R-2,R-2 Medium Density Residential,R-2,R-2 Medium Density Residential,R-2 Zoning Code is,available online,http://ecode360.com/8679602, , , ,13817.693088545,671.750911861418
419,R-2,R-2 Medium Density Residential,R-2,R-2 Medium Density Residential,R-2 Zoning Code is,available online,http://ecode360.com/8679602, , , ,19735.794394435,920.425558424357
420,R-3,R-3 High-Density Residential,R-3,R-3 High Density Residential,R-3 Zoning Code is,available online,http://ecode360.com/8679692, , , ,20638.243286275,668.23092265294
